"","artist","track","track_title","line","lyric"
"1","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",1,"""Hey, Macklemore, can we go thrift shopping?""What what, what, what"
"2","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",2,"What what, what, what"
"3","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",3,"What what, what, what"
"4","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",4,"What what, what, what"
"5","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",5,"What what, what, what"
"6","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",6,"Bada, bada, bada doo da"
"7","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",7,"What what, what, what"
"8","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",8,"Bada, bada, bada doo da"
"9","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",9,"What what, what, what"
"10","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",10,"Bada, bada, bada doo da"
"11","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",11,"Bada, bada, bada doo da"
"12","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",12,"Bada, bada, bada doo da"
"13","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",13,"Bada, bada, bada doo da"
"14","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",14,"Bada, bada, bada doo da"
"15","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",15,"I'm gonna pop some tags"
"16","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",16,"Only got 20 dollars in my pocket"
"17","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",17,"I'm, I'm, I'm huntin', lookin' for a come up"
"18","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",18,"This is fucking awesome"
"19","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",19,"Now"
"20","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",20,"Walk into the club like, ""What up? I got a big cock""Nah, I'm just pumped, I bought some shit from a thrift shop"
"21","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",21,"Ice on the fringe is so damn frosty"
"22","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",22,"The people like, ""Damn, that's a cold ass honkey""Rollin' in hella deep, headed to the mezzanine"
"23","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",23,"Dressed in all pink 'cept my gator shoes, those are green"
"24","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",24,"Draped in a leopard mink, girl standin' next to me"
"25","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",25,"Probably should've washed this, smells like R. Kelly sheets"
"26","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",26,"Piss..."
"27","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",27,"But shit, it was 99 cents!"
"28","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",28,"Fuck it, coppin' it, washin' it, 'bout to go and get some compliments"
"29","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",29,"Passin' up on those moccasins someone else has been walkin' in"
"30","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",30,"Bummy and grungy, fuck it man, I am stunting and flossin'"
"31","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",31,"And saving my money and I'm hella happy; that’s a bargain, bitch"
"32","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",32,"I'ma take your grandpa's style, I'ma take your grandpa's style"
"33","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",33,"No, for real, ask your grandpa, can I have his hand-me-downs? (Thank you!)"
"34","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",34,"Velour jumpsuit and some house slippers"
"35","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",35,"Dookie brown leather jacket that I found diggin'"
"36","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",36,"They had a broken keyboard, I bought a broken keyboard"
"37","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",37,"I bought a skeet blanket, then I bought a knee board"
"38","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",38,"Hello, hello, my ace man, my mellow"
"39","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",39,"John Wayne ain't got nothing on my fringe game, hell no"
"40","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",40,"I could take some Pro Wings, make 'em cool, sell those"
"41","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",41,"The sneaker heads would be like, ""Ah, he got the Velcros"""
"42","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",42,"I'm gonna pop some tags"
"43","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",43,"Only got 20 dollars in my pocket"
"44","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",44,"I'm, I'm, I'm huntin', lookin' for a come up"
"45","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",45,"This is fucking awesome"
"46","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",46,"I'm gonna pop some tags"
"47","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",47,"Only got 20 dollars in my pocket"
"48","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",48,"I'm, I'm, I'm huntin', lookin' for a come up"
"49","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",49,"This is fucking awesome"
"50","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",50,"What you know about rockin' a wolf on your noggin?"
"51","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",51,"What you knowin' about wearin' a fur fox skin?"
"52","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",52,"I'm diggin', I'm diggin'"
"53","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",53,"I'm searchin' right through that luggage"
"54","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",54,"One man's trash, that's another man's come up"
"55","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",55,"Thank your granddad for donatin' that plaid button-up shirt 'cause right now, I'm up in hurr stuntin'I'm at the Goodwill, you can find me in the bins"
"56","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",56,"I'm not, I'm not stuck on searchin' in that section (Mens)"
"57","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",57,"Your grammy, your auntie, your mama, your mammy"
"58","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",58,"I'll take those flannel zebra jammies"
"59","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",59,"Second hand and I'll rock that, motherfucker"
"60","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",60,"The built-in onesie with the socks on the motherfucker"
"61","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",61,"I hit the party and they stop in that motherfucker"
"62","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",62,"They be like, ""Oh, that Gucci? That's hella tight"""
"63","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",63,"I'm like, ""Yo, that's 50 dollars for a T-shirt"""
"64","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",64,"Limited edition, let's do some simple addition50 dollars for a T-shirt, that's just some ignorant bitch shit"
"65","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",65,"I call that getting-swindled-and-pimped shit"
"66","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",66,"I call that getting tricked by business"
"67","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",67,"That shirt's hella dough"
"68","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",68,"And having the same one as six other people in this club is a hella don'tPeep game, come take a look through my telescope"
"69","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",69,"Tryna get girls from a brand?"
"70","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",70,"Man, you hella won't! Man, you hella won't!"
"71","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",71,"Goodwill, poppin' tags, yeah!"
"72","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",72,"I'm gonna pop some tags"
"73","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",73,"Only got 20 dollars in my pocket"
"74","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",74,"I'm, I'm, I'm huntin', lookin' for a come up"
"75","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",75,"This is fucking awesome"
"76","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",76,"I'll wear your granddad's clothes"
"77","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",77,"I look incredible"
"78","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",78,"I'm in this big-ass coat"
"79","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",79,"From that thrift shop down the road"
"80","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",80,"I'll wear your granddad's clothes (Damn right)"
"81","Macklemore & Ryan Lewis","Thrift Shop","Thrift Shop",81,"I look incredible (Now come on, man)"
